Job Name,Company Name,Location,Salary,Description,Skills
FPGA and System Design Engineer ( 0 to 2 years),Yantravision Software Pvt Ltd,NA,20000 - 35000,"Looking for engineers with FPGA and RTL Design Skills.Design, RTL Coding & Basic Verification Skills.FPGA Toolchain - Integration, Synthesis & Implementation.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Software Development Engineer in Test 2-Governance,Microsoft,"Bengaluru, Karnataka",NA,Great analytical skills and learning agility.Capacity and interest to drill deep through software layers.Azure Big data teams present interesting challenges…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
"Intern, InnovatED; Communications",TeachForIndia,"Mumbai, Maharashtra",NA,Edit and compile learning videos for entrepreneurs.The Communications Intern will work closely with the InnovatED Team (Project under Alumni Impact Team).,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Machine Learning Engineer,Amantya Technologies,"Gurgaon, Haryana",NA,Proficiency with a deep learning framework such as TensorFlow or Keras.Proficiency with Python and basic libraries for machine learning such as scikit-learn…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Machine Learning Engineer,Infomatics Software Solutions India Pvt Ltd,"Chennai, Tamil Nadu",NA,"Â€¢Understanding of different machine learning and deep learning algorithm families and their tradeoffs.Â€¢1+ year experience in Python engineering, research…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
FPGA and System Design Engineer ( 0 to 2 years),Yantravision Software Pvt Ltd,NA,20000 - 35000,"Looking for engineers with FPGA and RTL Design Skills. 1. Design, RTL Coding & Basic Verification Skills 2. FPGA Toolchain - Integration, Synthesis &…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
FPGA and System Design Engineer ( 0 to 2 years),Yantravision Software Pvt Ltd,NA,20000 - 35000,"Looking for engineers with FPGA and RTL Design Skills. 1. Design, RTL Coding & Basic Verification Skills 2. FPGA Toolchain - Integration, Synthesis &…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Channel Relationship Manager,ATSPL - Madhya Pradesh,"Bhopal, Madhya Pradesh",NA,We know that learning through experience is what transforms talented people into great leaders.Graduate is must and MBA is preferred with specialization in…,"Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
FPGA and System Design Engineer ( 0 to 2 years),Yantravision Software Pvt Ltd,NA,20000 - 35000,"Looking for engineers with FPGA and RTL Design Skills. 1. Design, RTL Coding & Basic Verification Skills 2. FPGA Toolchain - Integration, Synthesis &…","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
Software Engineer,Skyflow,"Bengaluru, Karnataka",NA,"Exposure to machine learning techniques and practices.Skyflow, Inc. is a Silicon Valley, California based start-up focused on building the Privacy API.","Deep Learning with TensorFlow,TensorFlow,Natural Language Processing,NLP,Robotic Process Automation,Deep Learning,Machine Learning,AI"
