Job_Name,Company_Name,Location,Salary,Description,Skills
React Developer,Protos Healthcare Technologies,NA,200000 - 450000,"Ability to create, develop & maintain React & React native application.Develop a flexible and well-structured front-end architecture.3rd floor, Plot No. 22,.","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
Full Stack Developer,SimplifyTech.in,NA,360000 - 600000,"We are looking for a full stack developer to produce scalable software solutions.As a full stack developer, you should be comfortable with both front-end and…","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
Node js developer,Ahmedabad Gujarat,"Ahmedabad, Gujarat",35000 - 50000,"Experience: 1 to 5 Years.Interested can apply at hr@techifysolutions .com.Salary: ₹35,000.00 - ₹50,000.00 per month.Node, React, Angular: 1 year (Preferred).","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
React Native Developer,NA,"Delhi, Delhi",350000 - 550000,"Key Skills React Native Developer, react js, Javascript, HTML, CSS/CSS3, jquery.We deeply care about genuine talent and are always looking for passionate…","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
UI React JS Developer,TensorIoT Software Services Pvt. Ltd.,NA,NA,Working with other developers and small teams to accomplish tasks/projects.Delivering complete front-end application features as an individual developer or…,"React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
UI React JS Developer,TensorIoT Software Services Pvt. Ltd.,NA,NA,Working with other developers and small teams to accomplish tasks/projects.Delivering complete front-end application features as an individual developer or…,"React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
Full Stack Developer,Team Ideal pvt. Ltd.,"Bengaluru, Karnataka",2000000 - 3000000,Collaborate with backend developers and UI/UX team.Minimum 7 Years of experience.Only prefer candidates from IIT or any Ivy league university across the globe…,"React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
React Developer,Onclick Innovations,Punjab,NA,"Good to have experience in Angular js, Nodejs, Mongodb.End to End development of Platform Component in React.React JS, HTML, CSS, Javascript (Must have).","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
React JS Redux,Scoop Technologies Private Limited,"Bengaluru, Karnataka",1000000 - 1800000,We have an Immediate opening for Appian with one of MNC Product based client for Bangalore location.Experience of 5-12 years.Full Name(Name Last name).,"React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
Full Stack Developer,SimplifyTech.in,NA,360000 - 600000,"We are looking for a full stack developer to produce scalable software solutions.As a full stack developer, you should be comfortable with both front-end and…","React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
UI React JS Developer,TensorIoT Software Services Pvt. Ltd.,NA,NA,Working with other developers and small teams to accomplish tasks/projects.Delivering complete front-end application features as an individual developer or…,"React.js,DOM manipulation,JavaScript,JavaScript object model,React.js,React.js workflows, Flux,Redux,EcmaScript,data structure libraries,RESTful APIs,SON Web Token,Babel,Webpack,NPM, technical requirements, optimization,Git,SVN,Mercurial"
