Job_Name,Company_Name,Location,Salary,Description,Skills
Flutter Developer,Enflexis Solutions Private Limited,"Pune, Maharashtra",NA,"Experience building and deploying a moderately complex Flutter app.Translating UI/UX designs into code.Knowledge of location services, maps, and other common…","Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
Flutter Developer,Job Mirror Consultancy,"Gurgaon, Haryana",NA, Good understanding of state management in flutter apps. Deep understanding of Flutter UI and different flutter widgets.Should be aware of trade.,"Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
Flutter Developer,Augusta Hitech Soft Solutions,"Coimbatore, Tamil Nadu",NA,"As a Flutter Developer, you are required to develop multi-platform application screens using Flutter and by maintaining code quality using industry standard…","Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
Flutter Mobile App Developer,CnX Player,"Mohali, Punjab",NA,As a Flutter developer you will be involved in the following activities:We are looking for an enthusiastic self-driven& highly motivated developer with strong…,"Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
Mobile developers - Flutter,UB Technology Innovations,"Chennai, Tamil Nadu",NA,Problem solver with excellent analytical skills.Passionate programmers with expertise in developing applications for the iOS/Android platform.,"Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
Part time or Freelance Android App Developer,Hutech Solutions Pvt. Ltd,"Bengaluru, Karnataka",NA,Expected Full stack developer having Solid knowledge on Firebase integration.*.Note: This Position is a Part time or freelance developers.,"Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
Junior JS/React Developer,Mocioun TechLabs,"Calicut, Kerala",NA,We are looking for a Junior React.js Developer.Your primary focus will be on developing user interface components and implementing them.,"Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
"iOS/Android/Mobile Developer, Software Developer",Sumedha Management Consultancy,"Faridabad, Haryana",NA,"4.Working directly with developers and product managers to conceptualize, build, test and realize products.7.Working with the front end developers to build the…","Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
Flutter Developer,Windmill Smart Solutions,"Pune, Maharashtra",NA,"Collaborating closely with the teams of UX/UI designers, PMs, QAs, and other developers.Flutter developers are a key part of our team and are responsible for…","Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
Flutter Specialist,Expinator Web Technology,"Mohali, Punjab",15000 - 25000,"Work with cross functional team including designer, information architects, backed developers to create optimum integration solution.","Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
Mobile Application Developer (Android),Darshan Soft-Tech,"Vadodara, Gujarat",NA,As a developer you will work closely with other developers and designers to drive the evolution and expansion of our mobile apps into new technology area and…,"Good knowledge of Git,Understanding of Computer Science,software development life cycle,Strong knowledge of different architecture approaches,Experience with GoF patterns,Knowledge of SQL,Fix bugs,Write clean code,Investigate technologies,Follow new trends,Strong knowledge of networking,Experience in programming languages for mobile development Kotlin or Swift,Knowledge of Dart programming language,Understanding of Flutter framework,Experience in Android ,Experience in IOS"
