Job_Name,Company_Name,Location,Salary,Description,Skills
Business Analyst,VMock Inc,India,NA,Business Acumen: Having business smartness coupled with strong understanding of business concepts.Plan and implement the overall analytics and business…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst (Airline Crew Rostering & Planning),Laminaar Aviation Infotech,"Bengaluru, Karnataka",NA,Areas of Specialization: Airline Crew Rostering & Planning.Educational Qualification: Engineering or Science Graduate.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst- Sales Capabilities,General Mills,"Mumbai, Maharashtra",NA,"Upgrade monthly deliverables based on business requirements and facilitate the larger team create functional, high impact efficient reports.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Pre-Sales Business Analyst - IT Software,YES IT Labs,"Noida, Uttar Pradesh",15000 - 30000,*Roles & Responsibilities: * Understand Client / Project Requirements/ Documentation Ask intelligent questions to client related to the project Create a…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,dot mappers,India,NA,"Create use case models, business process flowcharts and screen mockups.Gather business requirements, convert the same to Business Requirement Documents (BRD)…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business analyst,ANB Systems,"Chennai, Tamil Nadu",NA,"» Able to take part in describing and reviewing business processes with the client, as necessary.» Experience in analyzing data to draw business-relevant…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst - Global Supplier Management,Cisco Systems,"Bengaluru, Karnataka",NA,"We connect everything: people, processes, data, and things.Education and Experience: Graduate in Engineering with 6 to 8 years’ experience of Commodity…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Intelligence Analyst,Praxis Home retail,"Mumbai, Maharashtra",NA,"He/ She will also aid in documenting current business processes and models.The role is responsible for the design, development and delivery of reporting and…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Data and Business Analyst (Advance Excel User),DIV ESTATE,"Dehra Dun, Uttarakhand",12000 - 15000,"We need a smart and confident candidate to :Keep account of all revenue and expenses in Excel sheet.Excel user who should know, pivot tables, vlookup, sumif,…","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst - Pricing,Flipkart,"Bengaluru, Karnataka",NA,"You will work closely with internal Flipkart Teams to identify, define, collect, and track key business metrics for products or business processes.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Analyst,Alchemy Research & Analytics,"Durgapur, West Bengal",NA,Work Experience: 0-2 years of relevant experience in business and financial research.The candidate should be comfortable sourcing data from open and paid…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Professional 1 Business Analyst (51005644),DXC,"Indore, Madhya Pradesh",NA,Assists in planning and designing business processes; assists in formulating recommendations to improve and support business activities.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Xorosoft Technologies Private Limited,NA,600000 - 1000000,Xorosoft is a multi-national Software Development Company with offices in Canada and India focused on developing innovative supply chain solutions.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
SENIOR BUSINESS ANALYST,Networth Research,"Indore, Madhya Pradesh",NA,Command over English speaking and decent Hindi.Excellent at Client handling and servicing.Knowledge of Financial Market is an added advantage.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Data Analyst,Datagain Inc.,"Thane, Maharashtra",10000 - 18000,"Processing confidential data and information according to guidelines.Prepare and present analytical reports.Pay: ₹10,000.00 - ₹18,000.00 per month.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Sales Operations Analyst,Quantiphi,"Mumbai, Maharashtra",NA,As a business analyst - sales engineer you’ll need to be able to thrive in a fast-paced work environment and be committed to contributing to Quantiphi’s…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Systematix Infotech,"Indore, Madhya Pradesh",NA,Drive and challenge business units on their assumptions of how they will successfully execute their plans.Demonstrate strong analytical and product management…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Professional 1 Technology Analyst (51005844),DXC,"Mumbai, Maharashtra",NA,Interfaces with business units including middle management and/or internal resources to ensure quality and timeliness through the testing of project/release…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Talent Zone Consultants,"Mumbai, Maharashtra",200000 - 350000,Key Skills business development business analyst.Writing business requirement and proposed solutions.Ensuring the implementation of the solution is on track…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Associate – Business Analyst,Deutsche Bank,"Pune, Maharashtra",NA,We build talented and diverse teams to drive business results and encourage our people to develop to their full potential.What we’ll offer you.,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,Techment Technology,"Bengaluru, Karnataka",NA,Define configuration specifications and business analysis requirements.Experience in analyzing data to draw business-relevant conclusions and in data…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst – Product Manager,2basetechnologies,"Kochi, Kerala",NA,"Entrepreneurial / Entrepreneurial experience – building and leading businesses, including ownership and optimization of business performance metrics.","Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,[x]cube LABS,"Hyderabad, Telangana",NA,Strong analytical and quantitative skills; ability to work with business owners to define key business questions and to build data sets that answer those…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
Business Analyst,iBux Business Solutions,"Bengaluru, Karnataka",NA,Can develop business requirement for the product independently with little inputs from problem statements.Participates in identifying the risks involved in the…,"Consultancy Skills,Technical Understanding,Oral skills, written communication skills,facliation skillss.Interpersonal skills, consultative skills, Problem Solvong, Analyticial thinking, Organizational Skills, Knowledge of business structure"
