Job_Name,Company_Name,Location,Salary,Description,Skills
Backend Developer (#FlexiJob),HDFC Life,"Mumbai, Maharashtra",NA,Integration of user-facing elements developed by a front-end developer with server-side logic.Responsible for managing the interchange of data between the…,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node JS Developer,Shenll Technology Solutions,"Kalignar Karunanidhinagar, Tamil Nadu",300000 - 400000,"Cooperating with the back-end developer in the process of building the RESTful API.Key Skills : * MongoDB, Javascript, NodeJS, AngularJS, DynamoDB(Optional).","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node / React JS Developer,Silver Webbuzz,"Ahmedabad, Gujarat",NA,"(Openings: 02) ( Freshers can also Apply).Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
"Backed Developer (Node Js, Mongo DB, Vue Js, AWS Services)",squash Apps Private limited,"Coimbatore, Tamil Nadu",NA,"As a backend developer, your primary focus will be the development of all server-side systems.A basic understanding of front-end technologies is necessary as…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node js developer,ShahKam Solutions,"Chennai, Tamil Nadu",NA,2+ years of experience as a nodejs programmer.Experience in communicating with Database (either Mysql or MongodB) or calling Rest APIs to other services.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Software Developer,All Friends Studio,"Delhi, Delhi",320000 - 450000,Day-to-day responsibilities include: 1.Creating frameworks using JS-based Technologies 2.Managing the current websites over the nodejs tech 3.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node JS Angular JS Senior Developer(Freelancer/Part-time),IncBit Integrated Systems Pvt Ltd,"Delhi, Delhi",NA,"Developer should analyze the scope of the project.Must have proficiency / expertise in NodeJS, Angular JS , PHP development.Must know RDBMS concepts.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node Js Developer,HR Devi and Associates,"Gurgaon, Haryana",500000 - 1000000,"Good knowledge of Mysql/MongoDB/Cassandra.Experience with modern web application architectures and cloud platforms (AWS, Heroku).Salary 5 Lac To 10 Lac P.A.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Software Developer,My Corporate Jobs,"Mumbai, Maharashtra",NA,"Angular 7+, Angular Deployment process, Javascript, HTML5, Knowledge of CSS3, ES6, Typescript, Third party Library integration, HTML, CSS, Bootstrap, Javascript…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
React JS & Node JS Developer,DevCool Inc.,NA,NA,"We will need 3-4 years of experience in the below skill/s.HTML, CSS, JavaScript, Bootstrap - Proficient.Solid understanding of AJAX, JavaScript, JQuery, JSON…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
.NET Developer,OceanFrogs,"HSR Layout, Bengaluru, Karnataka",NA,"NET Core, MS SQL, and C#.Angular JS, Node.js, JAVA Script, JQuery.Hands on experience in ASP.NET, .NET Core, MS SQL and C#.Code review and unit testing.","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Angular js Developer,Cotech Innovations,"Bengaluru, Karnataka",NA,"To obtain a position as AngularJs Developer with a reputable and growing organization.Must skills : Angular 5 or 6,Java script ,Jasmin, chai Mocha Angular JS,…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Applications Developer,Oracle,"Noida, Uttar Pradesh",NA,"Applications Developer-20000L5D Applicants are required to read, write, and speak the following languages: English Preferred Qualifications Qualification: B…","Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
Node JS developer,Pace Wisdom Solutions,"Bengaluru, Karnataka",NA,Be a pro-active and driven software developer.Years of experience: Around 4-6 years.Take ownership to develop key modules in client platform as per planned.,"Node.js,Web application frameworks,Security,Databases,Package management,Source control,Oops concepts,Callback function,Mongodb,NPM,Express,RESTful APIs, Front-End Technologies,Asynchronous Programming,Authorization"
