Job Name,Company Name,Location,Salary,Description,Skills
Mean Stack Developer,Erginus,"Mohali, Punjab",NA,"Strong knowledge of PHP and OOPs.Strong knowledge of relational databases (MySQL, MongoDB, SQL).Working knowledge of client and server side interaction (AJAX,…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
iOS/Android/Mobile Developer,EncureIT Systems,"Pune, Maharashtra",200000 - 350000,"Knowledge of Node.js and frameworks available for it such as Express.js, Strong Loop, etc depending on your technology stack.","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
MEAN Stack Technical Lead,Techmango Technology Services,"Madurai, Tamil Nadu",NA,"Description: Node.js developer will be an active part in all stages of developing web applications, starting from server logic and implementing it using various…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Full Stack Developer_MERN/MEAN,Webhopers Infotech Private Limited,NA,20000 - 40000,Considering the current scenario of pandemic- This position is applicable for only those candidates who are who are flexible for both- to work from home as well…,"Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Full Stack Developer / Sr. Developer/Architect - Bangalore,Sirchend Softwares Private Limited,"Bengaluru, Karnataka",180000 - 720000,"Are Familiar with popular open-source frameworks stacks.This means that they can develop or test full-fledged platforms (with databases, servers and clients)…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Senior Software Engineer - Full-stack ( RAS),Skillsoft,Andhra Pradesh,NA,We are looking for exceptional Java based full stack developers to join our team and learn new technology as well.Senior Software Engineer – Full-stack.,"Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
PHP developer,Brain Inventory,"Indore, Madhya Pradesh",NA,"Experience Required : 1 - 3 Year.Cgvfore PHP, CI & Laravel, Relational Database, Jenkins, REST, Payment Integration, AWS, AJAX, Mobile Frameworks.","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Sr. Web Developer (Full Stack),CodeClouds,"Kolkata, West Bengal",NA,"Experience with deployment and configuration of common stacks (LAMP, MERN, MEAN).The ideal candidate would have proven experience with common stack, popular…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
MeanStack Developer,skilora,"Calicut, Kerala",NA,"Candidate must have Experience ofa 2 years and above.Involve in business requirement gathering, analysis, coding, design & development of web based…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Angularjs Developer,Broadview Innovations,"Surat, Gujarat",NA,"Note: Advanced AngularJS developers will have a mix of front-end and back-end technology expertise, including solution stacks like MEAN, and server-side…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
