Job_Name,Company_Name,Location,Salary,Description,Skills
Java Developer - API & Micro service,Shelby Shielding Futures,"Delhi, Delhi",NA,Java developer with API and micro services consultant role of 6 month to 1 year period.We have opportunity with one of leading company for Consultant role -…,"Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
Software Developer,dvsistems,"Pune, Maharashtra",300000 - 500000,Part-time hours: 8 per week.Experienced in Python Flask API setup and development.Experienced in Python API Exception handling/Authentication/Authorization…,"Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
JAVA Frontend Developer | 4 to 6 years | Mumbai,Capgemini,"Mumbai, Maharashtra",NA,Experience on Angular 6 framework.Should have worked on Reactive forms Angular Unit Testing Framework.CSS Framework like Bootstrap Responsive web design.,"Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
Java J2EE,Mindcraft,"Mumbai, Maharashtra",NA,"Building Dynamic SQL (in Java).Understanding constraints, dependencies, keys, etc.Understanding of separation of business side processing and UI side…","Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
Java Developer,Menorah Personnel Management India Private,"Bengaluru, Karnataka",NA,Desired Skills and Experience:Passionate about code is mustAt least 2+ years of using Java and JEE technologiesExperience using enterprise level Spring Boot/AOP…,"Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
JAVA Developers-Experienced,Encore Theme,"Mumbai, Maharashtra",NA,Candidate should be willing to relocate & work anywhere across the globe.Java Developers will form part of the software team that will be responsible for…,"Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
Software Developer,Absolute Trust Accountants and Advisors,"Mumbai, Maharashtra",40000 - 50000,"Looking for candidate who can develop accounting software.Minimum exp of 2 years required.Job Types: Full-time, Contract, Fresher.","Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
Java Developer,Code It Soft Pvt. Ltd.,"Gurgaon, Haryana",400000 - 800000,"Java SE 7 Programmer (Preferred).- Expert knowledge of Java/J2EE/MVC based web development. .- Hands on coding, you will be working in agile scrum teams..","Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
Java Springboot Microservices Developer,Infosys,NA,NA,"At least 4 years of experience in Project life cycle activities on development and maintenance projects including creating Junit, Unit testing, Code reviews etc…","Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
Java Developer,Visionpix Technologies,"Bengaluru, Karnataka",NA,"Required Skills: core java, jsp/servlet, Spring/IOC, junit, ooad,hibernate, xml, jdbc, sql, uml, design patterns, jms, jaxb, annotations.","Knowledge of Object-Oriented Programming,design,Work experience with at least one of the Java frameworks,Knowledge of relational databases,SQL,ORM,HTML,CSS,JavaScript,JQuery,Proficient in Java,JavaScript,javaApplts,java Servlets,Java Beans,Excellent communication skills,Interpersonal Skills,Motivated team player,ability to reflect leadership skills,MVC,JDBC,JSP,SOAP,RESTful,SWING,SWT,AWT,Junit,TESTNG,Spoock,Mockito,problem-solving"
