Job_Name,Company_Name,Location,Salary,Description,Skills
DevOps Engineer IV (DB Specialization),PDI,"Hyderabad, Telangana",NA,"Bring DevOps technical expertise to a Scrum team of engineers building & supporting our multi-stage, CI/CD hybrid cloud platform.Join us for the next chapter!","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,totHR,"Kochi, Kerala",250000 - 300000,Urgently need a junior DevOps Engineer with 1 - 2 years hands-on experience.Must have good communication skills and immediate joiners.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Devops Tool Engineer,Career Soft Solutions,"Chennai, Tamil Nadu",NA,"Good experience with AWS Services.Proficiency in modern programming language such as Python,Java, Ruby, Groovy, Shell scripting.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer Bangalore,Cleartrip,"Bengaluru, Karnataka",NA,Be on a PagerDuty rotation to respond to Cleartrip.com availability incidents and provide support for service engineers with customer incidents.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,NCR,"Hyderabad, Telangana",NA,"NCR Corporation (NYSE: NCR) is a leading software- and services-led enterprise provider in the financial, retail and hospitality industries.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Sr. DevOps Engineer,ULTISOURCE,"Hyderabad, Telangana",NA,"Automate the systems development life cycle while delivering features, fixes, and updates frequently in close alignment with client/internal objectives.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
IT Infrastructure & Cloud Engineer,S&L International,NA,192000,"As an S&L Infrastructure Engineer, you will work closely with S&L's customers in designing, deploying, managing & maintenance of these different cloud and on…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
IT Infrastructure & Cloud Engineer,S&L International,NA,192000,"As an S&L Infrastructure Engineer, you will work closely with S&L's customers in designing, deploying, managing & maintenance of these different cloud and on…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,Tyfone,"Bengaluru, Karnataka",NA,"As a Tyfone DevOps Engineer, you will be of a member of a small, tightly knit, DevOps team who possess complementary skillsets and work closely with our…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Sr. DevOps Engineer,Giggso Ind P Ltd,"Chennai, Tamil Nadu",474963 - 1654334,"We are looking for a python developer - FULL TIME, Preferred location CHENNAI or Tamil Nadu.DevOps with Python developer must be proficient in writing python…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,Innovecture,"Pune, Maharashtra",NA,"Innovecture, a U.S. based Information Technology and Management Consulting company, founded in 2007, brings a wealth of expertise and experience in Technology…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,Gnani Innovations,"Bengaluru, Karnataka",NA,"Gnani.ai is looking to hire software developer 2+ Years experience, with keen interest in design and developing enterprise software at scale.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Data Visualization Engineer (Spotfire),Numerator,"Pune, Maharashtra",NA,"If you are seeking an environment where you get to do meaningful work with other great engineers, then we want to hear from you!What We Do and How?","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Software Engineer,WELLS FARGO BANK,"Hyderabad, Telangana",NA,Senior Production support lead/engineer role with having more than 8+ years of experience in handling production support activities with good knowledge on…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Program Security Engineer,MasterCard,"Pune, Maharashtra",NA,MasterCard is seeking a demonstrated security engineering expert to join our Business Security Enablement Guild within the Corporate Security team.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,Noodle.ai,"Bengaluru, Karnataka",NA,Most AI companies focus narrowly on technology.Most consulting firms focus narrowly on business processes.This role is heavy on automation and integration of…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Senior Automation Engineer,Attra,"Bengaluru, Karnataka",NA,"Hands on experience in devops tools.Strong experience in creating automation framework preferably using BDD/PoM.Strong knowledge in java, (optional python).","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
